product_id,product_category,original_price,discount_applied,units_sold
26241,Power & Batteries,23.26,5,21142
30005,Headphones,199.95,40,171
35425,Cameras,769.0,30,68
42472,Chargers & Cables,22.99,15,469
13096,TV & Display,179.99,20,73
38417,Phones,27.99,0,313
8643,Other Electronics,169.95,15,120
37020,Cameras,769.0,15,56
3682,Phones,85.0,20,880
12122,Chargers & Cables,579.99,15,72
39334,TV & Display,29.98,20,371
18596,Other Electronics,14.29,10,260
24447,Laptops,1899.0,20,67
22758,Other Electronics,475.0,40,75
28451,Laptops,38.99,0,207
34075,Chargers & Cables,19.98,30,595
31749,Networking,78.99,30,259
13626,TV & Display,179.99,0,35
7141,Phones,119.99,30,1427
18437,Cameras,66.01,20,122
8100,Networking,79.99,40,301
39106,Speakers,32.99,10,231
28897,Other Electronics,77.0,40,140
17675,Cameras,66.01,30,122
26750,Speakers,69.99,10,350
4079,Phones,29.19,0,988
5979,Phones,34.99,10,555
29122,Phones,179.99,15,129
10366,TV & Display,199.0,5,51
22346,Power & Batteries,17.99,15,107282
38676,Printers & Scanners,229.99,0,79
4850,Speakers,39.0,30,680
18017,Chargers & Cables,59.95,30,299
4612,Power & Batteries,5.35,10,2383
38677,Laptops,34.99,20,369
27276,Power & Batteries,40.99,40,291
19173,Cameras,115.13,5,110
6241,Power & Batteries,16.19,20,1267
32129,Phones,109.99,0,203
7865,Phones,6.99,40,1520
5754,Other Electronics,19.99,30,713
21959,Power & Batteries,17.99,10,101263
21159,Power & Batteries,28.91,40,321
34153,Laptops,131.89,30,291
39281,Smart Home,184.95,20,134
11016,TV & Display,9.95,20,496
29042,Phones,79.95,5,112
3349,Phones,119.99,5,1115
8729,Laptops,615.0,10,73
28135,Other Electronics,206.96,40,166
31935,Laptops,145.0,5,82
7430,Phones,49.99,20,2524
31838,Laptops,131.89,40,328
29008,Laptops,131.89,20,272
3208,Cameras,69.95,0,494
25126,Power & Batteries,16.61,20,1313
38794,Phones,49.99,10,3374
2936,Other Electronics,26.99,15,1280
37909,Smart Home,184.95,0,91
29583,Power & Batteries,23.26,0,20048
25726,Phones,49.99,10,3301
17930,Other Electronics,14.29,40,324
10740,Phones,100.0,40,81
10801,Laptops,69.99,10,114
31210,Cameras,74.99,5,232
42369,Phones,144.0,0,87
24038,Laptops,1899.0,5,59
34158,Chargers & Cables,34.99,20,393
32827,Other Electronics,7.29,0,472
18212,Cameras,115.0,0,96
10291,Cameras,508.0,30,69
20778,Power & Batteries,28.91,15,263
22066,Headphones,124.99,40,81
2809,Phones,39.99,0,991
11842,Power & Batteries,25.99,40,302
41865,Laptops,79.99,20,127
2365,Phones,95.0,40,1611
22046,Laptops,16.87,5,318
3107,Phones,12.99,5,3207
33172,Other Electronics,54.99,30,122
7919,Laptops,314.32,15,105
13655,Headphones,99.99,20,113
19836,Power & Batteries,28.91,5,197
10038,Other Electronics,26.97,10,248
4233,Cameras,69.95,20,648
39411,Networking,89.99,40,149
9790,Cameras,15.99,20,484
2058,Laptops,24.99,15,2343
13221,Speakers,199.99,5,43
28415,Wearables,699.99,20,56
3773,Laptops,579.99,40,323
10229,Laptops,389.99,30,75
28332,Wearables,699.99,30,55
31835,TV & Display,79.0,5,116
2956,Power & Batteries,16.19,30,1395
32372,Phones,32.99,10,443
25756,Phones,85.0,15,848
10584,Networking,249.99,30,71
19404,Storage,93.99,30,111
21482,Printers & Scanners,80.05,10,113
11062,Networking,39.99,15,331
26582,Headphones,199.95,20,128
42187,Phones,219.99,15,112
24085,Power & Batteries,16.61,0,971
3147,Phones,109.99,5,499
42270,Other Electronics,9.1,5,644
17143,Cameras,115.3,0,109
21667,Laptops,39.99,10,95
40210,Other Electronics,12.23,0,505
25744,Other Electronics,475.0,20,62
41616,Cameras,89.99,20,244
18921,Cameras,115.13,5,111
35492,Laptops,321.89,20,66
446,Chargers & Cables,144.99,5,4149
6174,Power & Batteries,25.47,0,19891
13269,Phones,9.95,0,282
39202,Speakers,32.99,30,257
31934,Phones,179.99,30,140
2301,Chargers & Cables,12.99,0,1936
34102,Phones,39.99,5,446
34958,Gaming,179.99,0,89
14734,Laptops,50.5,0,118
15683,Power & Batteries,6.95,40,976
25701,Chargers & Cables,34.99,10,238
253,Other Electronics,24.49,0,9948
28341,Other Electronics,77.0,20,127
32363,Laptops,539.99,5,43
40954,Storage,21.39,10,327
1533,Power & Batteries,25.47,30,28471
20915,Other Electronics,129.94,15,121
2138,Laptops,129.99,5,520
37671,Speakers,32.99,20,246
13803,Power & Batteries,6.95,5,618
29914,Laptops,38.99,30,300
9146,Laptops,149.99,20,126
31523,Laptops,38.99,20,247
30987,Printers & Scanners,609.0,15,49
30748,Cameras,23.99,5,466
16669,Other Electronics,129.94,40,137
15931,Headphones,199.95,15,61
40067,Other Electronics,169.95,40,146
15832,Other Electronics,27.49,15,225
36113,Cameras,769.0,5,45
8388,Other Electronics,29.99,0,105
6245,Laptops,333.89,0,96
3167,Smart Home,29.99,30,1422
37226,Laptops,45.99,15,237
3854,Other Electronics,22.99,10,1124
546,Phones,119.99,15,1223
37725,Other Electronics,55.99,15,343
5275,Smart Home,35.63,15,590
35414,TV & Display,29.98,40,686
24462,Power & Batteries,25.47,30,28433
38000,Laptops,1649.99,0,53
30537,Laptops,29.99,30,265
26692,Phones,71.99,30,147
1109,Printers & Scanners,30.72,30,5844
1265,Gaming,29.99,0,3926
38658,Phones,18.98,0,483
33875,Chargers & Cables,19.98,15,497
15855,Phones,9.95,30,420
8366,Phones,29.99,10,312
10670,Laptops,34.95,40,299
8500,Phones,27.95,40,670
33865,Phones,119.99,0,973
39579,Power & Batteries,23.26,5,21332
36110,Networking,89.99,5,112
31553,Laptops,38.99,5,201
27199,Laptops,269.0,20,130
15106,Laptops,43.99,15,238
33623,Other Electronics,7.29,5,504
35620,Phones,57.99,15,240
32040,Power & Batteries,23.26,5,21512
38681,Laptops,1649.99,10,61
11216,Chargers & Cables,579.99,15,62
38752,TV & Display,29.98,5,315
28506,Other Electronics,206.96,40,160
255,Cameras,968.0,0,1940
35107,Networking,89.99,15,134
830,Other Electronics,21.99,40,8104
28793,Laptops,145.0,40,134
7375,Other Electronics,9.49,40,835
38671,TV & Display,29.98,20,372
18160,Laptops,369.0,0,51
40554,Speakers,32.99,0,194
3085,Other Electronics,398.99,30,591
1690,Power & Batteries,16.19,20,1241
35826,Other Electronics,55.99,40,458
30830,Laptops,131.89,0,200
34567,Gaming,179.99,0,117
25195,Laptops,39.99,40,164
18813,Laptops,389.99,40,70
14220,Power & Batteries,6.95,5,637
5635,Laptops,34.99,5,185
36025,TV & Display,169.0,15,53
31255,Phones,39.99,15,458
16051,Laptops,369.0,15,61
33774,Other Electronics,54.99,5,115
29088,Laptops,43.99,40,324
17560,Power & Batteries,25.49,15,235
22370,Laptops,39.99,0,88
40335,Phones,219.99,5,102
41889,Printers & Scanners,245.0,15,124
31654,Phones,79.95,0,106
11151,Chargers & Cables,23.98,15,461
7138,Phones,33.14,10,586
41934,Printers & Scanners,229.99,40,167
10798,Phones,159.95,40,142
24776,Cameras,49.95,15,127
32559,Speakers,109.99,10,124
8172,Laptops,39.99,15,368
2490,Other Electronics,36.29,30,1410
21166,TV & Display,24.99,30,271
35140,Other Electronics,19.88,40,462
7390,Other Electronics,9.49,20,630
41072,Headphones,59.0,30,451
25024,Storage,59.99,30,134
28186,Power & Batteries,7.79,15,605
23000,Laptops,16.87,5,325
20040,Cameras,115.13,5,108
5796,Other Electronics,11.64,10,549
37476,Other Electronics,12.23,5,550
35971,Smart Home,184.95,0,113
2777,TV & Display,59.99,20,934
19460,TV & Display,24.99,30,283
33037,Wearables,699.99,20,58
1070,Gaming,249.99,0,1012
8524,Storage,32.99,30,404
6933,Networking,299.99,10,101
17057,TV & Display,24.99,0,180
2133,Other Electronics,102.99,0,880
1123,Laptops,359.99,20,1287
30318,Laptops,131.89,15,225
15058,Phones,185.0,20,113
31874,Power & Batteries,40.99,40,347
10716,Phones,47.99,20,130
17091,Chargers & Cables,59.95,5,197
8515,Power & Batteries,16.19,0,993
21199,Other Electronics,129.94,20,128
11129,Phones,26.95,0,4922
42471,Laptops,282.04,40,140
27552,Laptops,43.99,5,201
17009,Laptops,389.99,0,45
26371,Phones,119.99,20,1295
8254,Laptops,134.99,0,102
34741,Phones,13.99,30,585
33896,Laptops,29.99,40,336
38683,Cameras,769.0,5,55
42386,Laptops,429.0,15,60
24945,Cameras,49.95,0,95
42647,Cameras,89.99,20,231
26219,Wearables,699.99,5,58
13293,Phones,199.99,20,68
25553,Storage,199.99,20,118
5973,Phones,129.95,0,213
34144,Phones,109.99,20,243
39427,Laptops,321.89,0,47
7929,Phones,59.99,15,516
17774,Laptops,389.99,30,91
31234,Laptops,539.99,20,55
25257,Chargers & Cables,34.99,20,275
18824,Power & Batteries,25.49,20,270
34443,Laptops,43.99,10,234
1527,Chargers & Cables,53.99,10,2219
4872,Speakers,32.99,5,580
17410,Cameras,115.3,30,131
31693,Wearables,699.99,30,86
35472,Other Electronics,55.99,10,349
15193,Laptops,50.5,5,124
2731,Phones,119.99,10,1199
20844,Storage,93.99,15,133
18612,Cameras,115.13,5,101
3224,Phones,119.99,30,1402
18307,TV & Display,24.99,30,257
20426,Other Electronics,14.29,10,218
24402,Printers & Scanners,14.99,15,322
18518,Other Electronics,129.94,10,114
26585,TV & Display,79.0,40,155
20363,Other Electronics,129.94,0,114
3433,Phones,117.95,0,678
25323,Cameras,49.95,15,134
4481,Chargers & Cables,102.99,20,538
16472,Cameras,115.3,20,150
4793,Laptops,75.0,0,518
18157,Other Electronics,129.94,0,99
38566,TV & Display,29.98,20,398
23026,Laptops,39.99,5,104
16101,Chargers & Cables,59.95,20,241
34603,Cameras,769.0,10,53
40720,Phones,599.95,5,48
2976,Laptops,265.68,10,398
28908,Phones,179.99,0,97
22582,Laptops,39.99,5,115
10654,Other Electronics,289.99,10,110
7418,TV & Display,229.99,10,135
28405,Phones,39.99,5,431
25643,Cameras,269.95,15,142
8940,Other Electronics,158.0,40,166
12153,Storage,26.99,20,241
29355,Phones,32.99,30,552
32161,Laptops,43.99,10,239
36543,Other Electronics,24.99,20,408
35814,Laptops,949.0,40,78
29463,Other Electronics,82.99,30,150
9835,Headphones,399.99,20,72
26803,Phones,109.99,0,188
26031,Other Electronics,77.0,30,146
10792,Other Electronics,159.0,40,74
34426,Power & Batteries,16.61,20,1322
42048,Laptops,8.99,10,593
32979,Cameras,74.99,30,294
41279,Laptops,282.04,0,83
23142,Power & Batteries,25.47,5,21183
27719,Speakers,69.99,10,351
8317,Cameras,69.95,0,462
25056,Power & Batteries,17.99,0,90161
34254,Laptops,43.99,30,307
7630,Cameras,149.95,20,253
29491,Phones,79.95,5,117
21707,Laptops,16.87,10,348
38160,Speakers,32.99,10,215
11464,Storage,29.99,20,269
24600,Other Electronics,475.0,5,58
7699,TV & Display,29.98,30,587
40654,Printers & Scanners,229.99,10,116
30512,Other Electronics,7.29,5,505
37518,Phones,18.98,30,752
14469,Power & Batteries,6.95,30,891
8050,Phones,9.99,40,1115
3012,Power & Batteries,25.47,10,22381
41443,Phones,599.95,20,72
25030,Chargers & Cables,34.99,15,245
5880,Other Electronics,62.34,10,687
1679,Storage,8.69,40,6534
24800,Chargers & Cables,34.99,0,211
11223,Other Electronics,27.49,0,238
2660,Wearables,179.95,30,727
28643,Headphones,199.95,15,126
9058,Other Electronics,519.99,40,75
7629,Phones,79.98,10,197
15680,Laptops,43.99,0,194
33444,Power & Batteries,23.26,0,20107
37546,Other Electronics,89.95,10,121
24612,Chargers & Cables,34.99,40,323
42530,Power & Batteries,14.99,5,6414
22715,Storage,119.99,30,70
25586,Headphones,124.99,10,48
26862,Cameras,74.99,5,221
28347,Laptops,97.0,30,258
24744,Printers & Scanners,80.05,15,125
4321,Chargers & Cables,39.99,20,693
3633,Laptops,13.99,30,1426
17284,Power & Batteries,28.91,15,236
29447,Laptops,43.99,20,249
34793,TV & Display,29.98,0,429
23418,Cameras,119.99,0,91
4659,TV & Display,239.99,0,308
19804,Other Electronics,129.94,30,158
11462,Other Electronics,8.94,5,487
36968,Laptops,45.99,20,275
28390,Cameras,74.99,0,212
1694,Other Electronics,40.99,40,3278
24267,Cameras,119.99,10,99
3254,Other Electronics,32.38,20,1333
22424,Headphones,213.0,20,71
11858,TV & Display,179.99,5,43
26268,Chargers & Cables,19.98,15,491
17439,Printers & Scanners,27.33,5,198
37482,Laptops,34.99,0,266
41229,Phones,39.95,10,325
19980,Laptops,349.0,10,52
26683,Other Electronics,54.99,40,158
24671,Headphones,213.0,40,83
7024,Other Electronics,221.3,0,208
4057,Other Electronics,134.99,10,584
35505,Other Electronics,24.99,5,317
6998,Laptops,249.0,30,129
38254,Other Electronics,20.95,5,325
1635,Other Electronics,25.49,30,4311
13348,Other Electronics,45.99,0,95
6240,Power & Batteries,25.47,10,22305
17941,Chargers & Cables,59.95,40,271
18561,Laptops,389.99,20,61
11258,Storage,29.99,40,327
18943,Other Electronics,129.94,15,130
37726,Networking,89.99,20,115
41537,Chargers & Cables,1099.99,30,75
10656,Power & Batteries,4.95,5,480
41003,Other Electronics,9.1,5,653
13820,Cameras,34.99,40,335
38719,Laptops,45.99,5,205
40608,Chargers & Cables,22.99,40,603
15260,Laptops,43.99,40,326
14546,Headphones,99.99,5,105
28637,Wearables,699.99,15,60
10060,Headphones,213.0,0,38
9459,Gaming,179.99,5,98
17787,Other Electronics,14.29,30,309
20943,Other Electronics,129.94,10,102
21612,Phones,8.99,40,821
26489,Power & Batteries,40.99,15,242
14067,Phones,23.99,40,1578
7873,Phones,49.99,30,2769
26664,Other Electronics,206.96,40,152
6561,Cameras,299.0,30,159
10788,Wearables,49.99,40,171
8059,Other Electronics,77.0,5,101
27616,Wearables,699.99,10,66
6991,Printers & Scanners,24.08,5,421
21540,Power & Batteries,25.47,40,32315
5426,Phones,49.99,30,2948
5652,Other Electronics,14.29,0,979
8197,Phones,59.99,15,515
12264,Headphones,99.99,40,166
1205,Other Electronics,549.99,0,516
19253,Printers & Scanners,27.33,40,335
5465,Laptops,299.0,15,223
28606,Cameras,74.99,5,259
4670,Wearables,47.95,5,559
20203,Chargers & Cables,85.99,40,74
8803,Other Electronics,54.99,15,356
41509,Other Electronics,12.23,10,554
39604,Other Electronics,12.23,10,537
24539,Storage,199.99,40,200
39370,Other Electronics,269.99,40,167
38826,Power & Batteries,9.99,40,1650
7612,Other Electronics,55.39,5,304
39809,Laptops,321.89,5,45
209,Other Electronics,26.99,0,9952
4451,TV & Display,2497.97,30,70
22622,Cameras,49.95,5,110
15122,Chargers & Cables,579.99,15,51
4008,Phones,8.99,10,1144
21646,Cameras,269.95,10,125
13403,Speakers,199.99,40,83
4327,Power & Batteries,16.19,0,971
30522,Other Electronics,206.96,40,153
23346,Storage,59.99,10,114
2824,Chargers & Cables,39.99,10,1039
271,Phones,69.0,30,11452
6647,Laptops,199.99,20,245
14662,Phones,24.96,15,537
41622,Power & Batteries,23.26,30,28734
39107,Phones,119.99,40,160
37405,Laptops,1649.99,20,63
29898,Power & Batteries,40.99,10,207
8964,Laptops,29.99,0,290
32124,Laptops,539.99,0,43
12773,Power & Batteries,25.99,10,272
15340,Other Electronics,103.99,5,111
24348,Other Electronics,475.0,20,74
38882,Other Electronics,269.99,10,119
29575,Phones,39.99,0,442
39030,Laptops,25.99,0,500
23693,Laptops,24.99,20,407
20010,Cameras,115.13,15,126
21999,Power & Batteries,25.47,10,22417
16730,Laptops,369.0,30,69
7547,Phones,159.0,40,143
3300,Phones,109.0,10,710
25807,Storage,99.99,15,1204
6711,Laptops,50.99,20,408
20390,Phones,49.97,20,3782
24248,Cameras,269.95,0,110
9215,Laptops,529.99,15,67
41461,Other Electronics,12.23,20,662
11904,Chargers & Cables,12.8,5,321
34871,Phones,57.99,10,218
3272,Laptops,149.0,0,394
12605,Speakers,199.99,30,69
39408,Laptops,34.99,15,344
37393,Other Electronics,212.06,0,91
36411,Phones,119.99,20,130
11264,Phones,49.99,40,329
10760,Speakers,349.99,20,61
31504,Speakers,109.99,30,144
23581,Headphones,213.0,30,69
9244,Power & Batteries,44.99,30,290
33091,Laptops,539.99,30,74
31258,Networking,78.99,30,304
14202,Phones,23.99,5,1141
126,TV & Display,97.99,10,11172
7652,Phones,119.99,15,1212
37984,Phones,57.99,0,189
30571,Laptops,269.0,30,138
35163,Laptops,25.99,10,563
15306,Phones,49.99,20,244
32807,Phones,39.99,10,471
31295,Phones,179.95,30,12837
16915,TV & Display,24.99,40,335
28747,Power & Batteries,16.61,0,992
11934,Other Electronics,33.9,30,131
16984,Cameras,115.3,10,102
37597,Storage,99.99,20,1293
11616,Power & Batteries,112.08,10,115
4600,Laptops,19.99,30,1470
15795,Phones,49.99,15,275
28396,Phones,32.99,10,473
26142,Other Electronics,54.99,15,110
36760,Laptops,949.0,30,74
37379,Other Electronics,55.99,10,330
14097,Chargers & Cables,85.99,20,71
26301,Other Electronics,7.29,5,555
5604,Phones,119.99,5,1078
20008,Other Electronics,129.94,15,124
927,Chargers & Cables,44.99,30,5752
22432,Cameras,269.95,15,128
395,Cameras,289.0,30,2819
8979,Other Electronics,14.35,30,581
33371,Wearables,699.99,5,47
18867,Cameras,115.13,20,130
26080,Phones,109.99,20,263
8323,Phones,179.99,10,110
35161,Phones,13.99,15,450
14231,Other Electronics,33.9,20,135
10192,Chargers & Cables,8.98,40,629
16490,Laptops,389.99,0,43
18674,Cameras,66.01,10,104
4579,Power & Batteries,5.06,10,2166
29091,Laptops,29.99,5,185
8526,Phones,239.95,15,111
10691,Laptops,39.99,40,348
39705,Other Electronics,269.99,20,128
22083,Cameras,49.95,20,121
23222,Laptops,16.87,30,433
42525,Laptops,649.99,10,112
35665,Networking,89.99,15,122
34181,Phones,32.99,15,456
15298,Other Electronics,8.78,15,458
9508,Laptops,11.99,30,536
31218,Other Electronics,77.0,5,114
13646,Other Electronics,33.9,20,133
39703,Phones,18.98,15,643
911,Laptops,759.0,40,800
12374,Chargers & Cables,12.8,40,487
14710,Laptops,50.5,30,144
13990,Headphones,99.99,5,89
34758,Gaming,179.99,30,127
19872,TV & Display,360.95,0,56
6836,Phones,300.0,10,84
18580,Cameras,66.01,20,119
3457,Cameras,747.49,30,259
1733,Other Electronics,15.0,30,7179
28893,Headphones,199.95,20,124
39451,Laptops,949.0,10,59
9716,Chargers & Cables,11.34,0,434
15892,Laptops,49.99,40,144
11330,Phones,9.95,40,477
19438,Laptops,389.99,5,60
30269,Speakers,69.99,30,394
942,Cameras,97.99,10,2204
368,Phones,129.95,5,206
39761,Laptops,321.89,40,84
6555,Laptops,349.0,5,93
761,TV & Display,189.99,5,2205
22336,Headphones,213.0,0,52
14686,Laptops,50.5,0,89
34504,Phones,25.99,5,313
5159,Laptops,372.0,15,115
31721,Phones,179.95,20,11382
5953,Wearables,149.95,40,320
24962,Cameras,119.99,40,167
32271,Other Electronics,206.96,0,103
8278,TV & Display,12.34,15,570
36208,TV & Display,169.0,15,67
9481,Other Electronics,349.95,30,118
4462,Phones,9.63,20,1227
27066,Chargers & Cables,19.98,5,413
8899,Laptops,99.85,30,77
9273,Phones,22.99,30,304
30932,Laptops,38.99,15,230
33654,Phones,39.99,15,480
21035,Phones,199.95,15,118
9795,Headphones,199.99,5,102
5740,Cameras,91.99,5,447
37090,Laptops,321.89,30,79
17721,Cameras,115.0,30,140
12628,Other Electronics,659.0,0,56
5347,Phones,319.99,40,163
31061,TV & Display,79.0,40,194
27663,Power & Batteries,23.26,40,32063
15324,Headphones,99.99,0,99
35608,Networking,89.99,40,142
8957,Other Electronics,349.0,15,107
6223,Cameras,69.95,5,547
11047,Headphones,179.99,5,50
1566,Power & Batteries,25.47,40,32301
34815,Phones,25.99,30,449
14571,Phones,9.95,20,392
34889,Laptops,25.99,15,580
2504,Power & Batteries,16.19,0,996
4629,Networking,59.99,20,647
9689,Phones,51.99,5,218
38839,TV & Display,29.98,40,443
21177,Cameras,115.03,0,88
10605,Other Electronics,112.99,15,60
2625,Power & Batteries,10.98,5,3042
33704,Cameras,23.99,40,663
18720,Cameras,115.13,15,100
13716,Power & Batteries,6.95,30,847
12572,Other Electronics,27.49,20,247
27116,Laptops,38.99,20,262
20416,Laptops,389.99,20,55
27835,Wearables,699.99,10,60
282,Cameras,29.99,40,16071
16185,Chargers & Cables,59.95,15,230
20713,Other Electronics,129.94,20,131
5463,Laptops,399.89,40,150
39735,Smart Home,184.95,30,147
5355,Laptops,208.09,20,261
39365,Cameras,769.0,15,67
34073,Speakers,109.99,40,165
42167,Printers & Scanners,239.99,20,138
37138,Laptops,321.89,15,50
30758,Phones,39.99,5,462
19330,Other Electronics,14.29,30,280
12456,Other Electronics,33.9,40,159
12788,Other Electronics,40.99,15,142
8868,Laptops,179.14,15,49
33634,Laptops,539.99,10,67
31298,Power & Batteries,16.61,40,1590
15584,Cameras,122.0,5,119
26852,Power & Batteries,23.26,40,32629
37744,Other Electronics,12.23,30,738
2215,Chargers & Cables,389.99,10,591
9744,Speakers,699.49,40,89
19298,Laptops,389.99,40,71
33048,Phones,32.99,20,453
6995,Cameras,69.95,15,567
2294,Chargers & Cables,46.95,30,1472
34696,TV & Display,169.0,5,53
2659,Other Electronics,6.99,10,2288
40247,Headphones,59.0,15,364
4577,TV & Display,149.99,0,289
29176,Power & Batteries,7.79,30,732
30521,Laptops,145.0,10,117
33450,Other Electronics,77.0,5,94
133,Laptops,93.89,10,11113
23253,Cameras,49.95,10,123
39362,Networking,89.99,10,114
39279,Phones,57.99,20,260
5395,Power & Batteries,16.19,0,987
3068,Power & Batteries,11.47,5,3194
30429,Other Electronics,206.96,5,114
39430,TV & Display,29.98,5,332
30475,Laptops,97.05,15,278
22030,Power & Batteries,17.99,30,128818
17689,Cameras,115.0,5,100
25390,Cameras,49.95,30,141
40117,Printers & Scanners,229.99,5,121
2623,Other Electronics,89.99,0,990
33254,Power & Batteries,7.79,15,613
13932,Phones,9.95,15,366
34918,Other Electronics,269.99,10,123
31602,Phones,32.99,20,514
28281,Other Electronics,77.0,15,124
6890,Cameras,2599.0,15,62
